1,1-2-1 Boston Refugee Youth Enrichment (PBHA)
2,Access Health
3,Act On A Dream
4,Advocating Success for Kids
5,Africa Business and Investment Club (HABIC)
6,African Students Association (HASA)
7,Alpha Omega
8,Alternative Spring Breaks (ASB) (PBHA)
9,Alzheimer's Buddies
10,Anime Society
11,Anscombe Society
12,Applied Mathematics Society
13,Armenian Students Association
14,Asian American Association (AAA)
15,Asian American Brotherhood (AAB)
16,Asian American Christian Fellowship (AACF)
17,Asian American Dance Troupe (AADT)
18,Asian American Women's Association
19,Asian Baptist Student Koinonia (ABSK)
20,Association for the Promotion of Interplanetary Expansion (HAPIE)
21,Association for U.S.-China Relations (HAUSCR)
22,Association of Black Harvard Women (ABHW)
23,Association of Practice and Learning of Yan Xin Life Science & Technology
24,Astrophysical Society
25,Athena Conference
26,Australian Undergraduate Society (AUS)
27,Bach Society Orchestra (BachSoc)
28,Baha'i Association
29,Ballet Company
30,Ballet Folklorico de Aztlan
31,Ballroom Dance Team (HBDT)
32,Baroque Chamber Orchestra
33,Beekeepers
34,Best Buddies (PBHA)
35,Bhangra
36,Bioethics Society
37,Biomedical Engineering Society (BMES)
38,Biotechnology Association
39,Black Men's Forum (BMF)
40,Black Pre-Law Association (BPLA)
41,Black Students Association (BSA)
42,BlackC.A.S.T.
43,Bolivian Association
44,Book Review
45,Boston Refugee Youth Enrichment (BRYE) Tutoring (PBHA)
46,Boston Refugee Youth Enrichment (BRYE Term) (PBHA)
47,Boston Refugee Youth Enrichment (BRYE) Extension (PBHA)
48,Boston Refugee Youth Enrichment Summer Program (BRYE Summer) (PBHA)
49,Brattle Street Chamber Players
50,Brazilian Association (HUBA)
51,Breakers
52,British Club
53,BRYE Teen (PBHA)
54,Bulgarian Club
55,BWISE: BSC Fellows for a Whole Integrated Student Experience
56,Cambridge 1-2-1 (PBHA)
57,Cambridge Afterschool Program (CASP) (PBHA)
58,Cambridge Youth Enrichment Program (CYEP) (PBHA)
59,Canadian Club
60,Cancer Society
61,Candela Dance Troupe
62,Caribbean Club
63,Catholic Student Association (CSA)
64,Chado Society
65,CHANCE (PBHA)
66,Chemistry Club
67,Chess Club
68,China Forum (HCCF)
69,Chinatown Adventure (CHAD) (PBHA)
70,Chinatown Afterschool Program (CHTNASP) (PBHA)
71,Chinatown Big Sibling Program (PBHA)
72,Chinatown Citizenship Program (PBHA)
73,Chinatown ESL Program (PBHA)
74,Chinatown Teen Program (PBHA)
75,Chinese Music Ensemble (HCME)
76,Chinese Students Association (CSA)
77,Christian Impact
78,Christians on Campus
79,CityStep
80,CIVICS (PBHA)
81,Classics Club
82,Club Sports
83,Coalition for East African Peace
84,Code Orange
85,College Bowl
86,College Events Board
87,Collegium
88,Colombian Students Association
89,Committee on Deaf Awareness (CODA) (PBHA)
90,Community Garden
91,"Community of Humanists, Atheists, and Agnostics"
92,Composers Association
93,Computer Society (HCS)
94,Concilio Latino
95,Connelly Center Youth Prison Tutoring Program (PBHA)
96,Consent Advocates and Relationship Educators (CARE)
97,Conservation Society
98,Consulting Group (HCCG)
,
100,Contact Peer Counseling
101,Convrgency
102,Crimson Commons
103,Crimson Key Society (CKS)
104,CrimsonEMS
105,Crimson
106,Crunch Magazine
107,Cuban-American Undergraduate Student Association (CAUSA)
108,Cube Club
109,Dancing to Heal
110,Data Ventures
111,David Walker Scholars (DWS) (PBHA)
112,Debate Council
113,Debating Union
114,Deepam
115,Democrats
116,Developers for Development
117,Development Think Tank
118,Dharma
119,Digital Literacy Project
120,Din & Tonics
121,DirecTutor
122,Disability Alliance
123,DREAM
124,Dreamporte
125,Drug and Alcohol Peer Advisors (DAPA)
126,Eating Concerns Hotline and Outreach (ECHO)
127,Ecdysis
128,Ecomarathon Team
129,Economics Association
130,Economics Review
131,Effective Altruism
132,Egyptian Student Association
133,Elderly 1-2-1 (PBHA)
134,Electronic Music Collective
135,Eleganza
136,Engineering Society (HCES)
137,Engineers Without Borders (EWB)
138,Entrepreneurship Forum
139,EnviroEd (PBHA)
140,Environmental Action Committee (EAC) (PBHA)
141,Episcopal Students
142,eSports Association
143,European Business Group
144,European Society
145,Evening with Champions
146,Experimentors (PBHA)
147,Expressions
148,Faith and Action (HCFA)
149,Fallen Angels
150,Film Festival
151,Financial Analysts Club
152,First Generation Student Union
153,First-Year Outdoor Program (FOP)
154,First-Year Social Committee (FYSC)
155,Flute Ensemble
156,Food Lab for Kids
157,Food Literacy Project
158,Foundation for International Medical Relief of Children (FIMRC)
159,Francophone Society
